time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-28T01:38:16.004Z,-21.8162,-68.4981,124.45,4.3,mwr,,35,0.691,0.81,us,us7000adb4,2020-07-24T01:17:00.040Z,"83 km NNE of Calama, Chile",earthquake,6.7,6.4,,,reviewed,us,guc
2020-06-28T01:39:12.505Z,64.9102,-139.2226,7.6,1.3,ml,,,,0.63,ak,ak02089pkacx,2020-07-09T06:12:52.282Z,"90 km E of Eagle Village, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-06-28T01:40:36.505Z,38.1734,-117.8384,7.6,3.2,ml,30,47.97,0.028,0.1509,nn,nn00754718,2020-07-24T01:19:00.040Z,"50km WNW of Tonopah, Nevada",earthquake,,0.6,0.34,14,reviewed,nn,nn
2020-06-28T01:41:50.037Z,61.5828,-148.0205,4.9,1.2,ml,,,,0.59,ak,ak02089pkspv,2020-07-09T06:12:53.430Z,"31 km SW of Glacier View, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-06-28T01:45:50.470Z,35.9286667,-117.6818333,2.46,1.56,ml,26,60,0.03194,0.13,ci,ci39270919,2020-07-02T18:28:58.567Z,"20km E of Little Lake, CA",earthquake,0.14,0.22,0.085,14,reviewed,ci,ci
2020-06-28T01:45:55.200Z,35.9245,-117.6818333,5.04,1.39,ml,9,102,0.03459,0.16,ci,ci37449765,2020-07-02T18:32:48.037Z,"20km E of Little Lake, CA",earthquake,0.42,1.01,0.057,3,reviewed,ci,ci
2020-06-28T01:46:01.110Z,35.6613333,-117.4668333,8.94,1.4,ml,20,112,0.07477,0.14,ci,ci37449773,2020-07-02T18:37:40.523Z,"13km SSW of Searles Valley, CA",earthquake,0.23,0.69,0.068,9,reviewed,ci,ci
2020-06-28T01:46:20.515Z,59.2233,-152.133,65,1.3,ml,,,,0.25,ak,ak02089plt0f,2020-07-15T23:19:58.236Z,"19 km SW of Nanwalek, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-06-28T01:49:21.780Z,38.1903,-117.7273,4.4,1.6,ml,22,110.5,0.05,0.04,nn,nn00754722,2020-06-28T01:59:24.259Z,"45km WNW of Tonopah, Nevada",earthquake,,1,,,automatic,nn,nn
2020-06-28T02:00:10.640Z,19.1916675567627,-155.419006347656,31.5900001525879,2.01,ml,36,165,,0.170000002,hv,hv72018897,2020-06-28T02:05:43.020Z,"6km ESE of Pahala, Hawaii",earthquake,0.7,0.99000001,0.2,3,automatic,hv,hv
2020-06-28T02:02:23.330Z,38.1163,-118.0473,3.2,1.6,ml,16,113.95,0.042,0.16,nn,nn00754727,2020-06-28T02:16:28.472Z,"67km SE of Hawthorne, Nevada",earthquake,,2.9,,,automatic,nn,nn
2020-06-28T02:06:02.160Z,38.8163338,-122.80867,1.53,0.55,md,8,94,0.007136,0.02,nc,nc73418051,2020-06-28T02:21:04.161Z,"6km NW of The Geysers, CA",earthquake,0.39,0.98,,1,automatic,nc,nc
2020-06-28T02:07:04.410Z,61.2164,-146.378,11.9,2.1,ml,,,,0.77,ak,ak02089pyuh6,2020-07-09T06:13:36.114Z,"9 km N of Valdez, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-06-28T02:09:55.640Z,35.7993333,-117.62,6.8,1.76,ml,22,68,0.02454,0.16,ci,ci39270927,2020-06-29T13:43:44.010Z,"20km W of Searles Valley, CA",earthquake,0.28,0.51,0.175,25,reviewed,ci,ci
2020-06-28T02:11:08.250Z,62.601,-151.3221,88.2,1.8,ml,,,,0.52,ak,ak02089pzpp3,2020-07-15T23:19:50.830Z,"30 km WNW of Petersville, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2020-06-28T02:12:57.354Z,-2.847,129.724,10,4.7,mb,,82,2.497,0.97,us,us7000adbw,2020-07-24T01:23:53.040Z,"104 km ENE of Amahai, Indonesia",earthquake,4.6,1.7,0.099,31,reviewed,us,us
2020-06-28T02:15:03.290Z,53.8683333,-166.763,8.3,0.91,ml,8,96,0.0481,0.12,av,av62188386,2020-06-29T17:48:48.580Z,"14km W of Dutch Harbor, Alaska",earthquake,0.43,0.38,0.321,7,reviewed,av,av
2020-06-28T02:16:04.432Z,53.8509,-166.7545,5.8,1.6,ml,,,,0.43,ak,ak02089q0s0g,2020-07-09T06:12:57.248Z,"14 km W of Unalaska, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-06-28T02:16:24.000Z,53.8583333,-166.766,8.44,1.16,ml,8,91,0.05003,0.14,av,av70905059,2020-06-29T23:08:13.980Z,"15km W of Unalaska, Alaska",earthquake,0.4,0.33,0.21,5,reviewed,av,av
2020-06-28T02:23:23.971Z,32.748,-103.4622,5,3.3,ml,,75,0.395,0.52,us,us7000adc1,2020-07-24T01:25:05.040Z,"23 km NW of Monument, New Mexico",earthquake,1.5,2,0.148,14,reviewed,us,us
2020-06-28T02:27:10.680Z,19.1975002288818,-155.447998046875,36.7000007629395,2.12,ml,30,169,,0.100000001,hv,hv72018922,2020-06-28T02:32:43.470Z,"3km ESE of Pahala, Hawaii",earthquake,0.56,0.949999988,0.24,3,automatic,hv,hv
2020-06-28T02:28:34.960Z,38.1633,-117.925,7.6,0.8,ml,11,97.38,0.036,0.06,nn,nn00754731,2020-06-28T02:40:49.870Z,"61km W of Tonopah, Nevada",earthquake,,1.6,,,automatic,nn,nn
2020-06-28T02:31:39.820Z,37.6588333,-118.8815,3.36,0.56,md,11,150,0.01887,0.06,nc,nc73418066,2020-06-29T00:37:05.448Z,"9km ENE of Mammoth Lakes, CA",earthquake,0.56,0.62,0.331,9,reviewed,nc,nc
2020-06-28T02:33:16.009Z,11.472,-86.9355,47.8,4.8,mb,,159,0.951,1.25,us,us7000adc5,2020-07-24T01:35:57.924Z,"57 km SW of Masachapa, Nicaragua",earthquake,5.8,4.9,0.028,391,reviewed,us,us
2020-06-28T02:36:02.207Z,63.4821,-150.1642,119.4,1.6,ml,,,,0.58,ak,ak02089q520r,2020-07-15T23:19:51.752Z,"61 km W of Cantwell, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-06-28T02:38:22.730Z,33.5786667,-116.8031667,7.24,0.67,ml,24,57,0.03589,0.21,ci,ci39270943,2020-06-29T13:43:39.680Z,"12km WNW of Anza, CA",earthquake,0.33,1.07,0.126,14,reviewed,ci,ci
2020-06-28T02:40:57.170Z,37.6531667,-118.8818333,3.99,0.26,md,11,186,0.01478,0.06,nc,nc73418076,2020-06-29T01:03:03.921Z,"9km ENE of Mammoth Lakes, CA",earthquake,0.84,0.91,0.086,10,reviewed,nc,nc
2020-06-28T02:41:14.150Z,35.79616667,-96.6465,7.08,1.45,ml,40,54,0.1268751028,0.17,ok,ok2020mpgj,2020-06-29T21:46:11.401Z,"5km N of Stroud, Oklahoma",earthquake,,0.4,0.18,5,reviewed,ok,ok
2020-06-28T02:41:41.461Z,38.1283,-118.0372,5.9,1.5,ml,16,112.53,0.034,0.157,nn,nn00754734,2020-06-29T18:00:43.066Z,"67km SE of Hawthorne, Nevada",earthquake,,1.3,0.46,2,reviewed,nn,nn
2020-06-28T02:42:20.260Z,37.6578333,-118.7965,3.01,0.84,md,13,236,0.02535,0.07,nc,nc73418071,2020-06-29T17:40:41.450Z,"15km NW of Toms Place, CA",earthquake,0.66,0.85,0.087,9,reviewed,nc,nc
2020-06-28T02:47:56.990Z,37.6558333,-118.8783333,3.88,0.56,md,11,143,0.0186,0.04,nc,nc73418086,2020-06-28T23:00:04.843Z,"9km ENE of Mammoth Lakes, CA",earthquake,0.59,0.93,0.253,9,reviewed,nc,nc
2020-06-28T02:48:45.450Z,38.8338333,-122.7818333,1.84,1.43,md,43,35,0.008066,0.04,nc,nc73418081,2020-07-01T23:41:03.863Z,"5km WNW of Cobb, CA",earthquake,0.14,0.24,0.462,7,reviewed,nc,nc
2020-06-28T02:52:07.999Z,65.299,-133.8597,13.1,1.9,ml,,,,0.63,ak,ak02089q8i1x,2020-07-09T06:12:59.649Z,"242 km S of Fort McPherson, Canada",earthquake,,0.4,,,reviewed,ak,ak
2020-06-28T02:57:58.730Z,37.6571667,-118.8845,3.66,0.57,md,9,194,0.01608,0.07,nc,nc73418091,2020-06-28T23:10:04.908Z,"9km ENE of Mammoth Lakes, CA",earthquake,0.75,1.7,0.333,8,reviewed,nc,nc
2020-06-28T03:00:01.390Z,37.6531667,-118.7988333,2.62,0.29,md,10,228,0.02839,0.03,nc,nc73418096,2020-06-28T23:21:08.969Z,"15km NW of Toms Place, CA",earthquake,0.88,0.98,0.354,10,reviewed,nc,nc
2020-06-28T03:00:42.010Z,17.9996,-66.8303,16,2.54,md,23,146,0.0547,0.16,pr,pr2020180000,2020-06-28T04:21:06.850Z,"1km WNW of Indios, Puerto Rico",earthquake,0.37,0.43,0.2,17,reviewed,pr,pr
2020-06-28T03:07:47.040Z,35.8956667,-117.716,9.29,1.14,ml,17,63,0.07452,0.14,ci,ci39270959,2020-07-02T18:56:37.209Z,"18km ESE of Little Lake, CA",earthquake,0.23,0.54,0.101,7,reviewed,ci,ci
2020-06-28T03:14:43.940Z,38.2981667,-112.8716667,7.39,1.65,ml,14,69,0.1606,0.07,uu,uu60399057,2020-06-29T14:33:42.030Z,"16km SE of Milford, Utah",earthquake,0.25,1.2,0.277,3,reviewed,uu,uu
2020-06-28T03:16:02.740Z,44.338,-115.2583333,6.45,2.38,ml,15,81,0.259,0.24,mb,mb80443624,2020-07-02T14:57:30.150Z,"28 km WNW of Stanley, Idaho",earthquake,0.47,1.33,0.19,10,reviewed,mb,mb
2020-06-28T03:18:31.010Z,36.4836667,-117.981,8.26,1.62,ml,23,85,0.0911,0.15,ci,ci39270967,2020-06-29T00:25:56.768Z,"14km SE of Lone Pine, CA",earthquake,0.22,0.5,0.178,18,reviewed,ci,ci
2020-06-28T03:21:27.810Z,38.1823,-117.8215,9.6,1.6,ml,16,72.55,0.058,0.2,nn,nn00754739,2020-06-28T03:31:51.293Z,"53km WNW of Tonopah, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-06-28T03:22:07.340Z,38.8089981,-122.8168335,3.23,0.55,md,8,118,0.009646,0.01,nc,nc73418101,2020-06-28T03:38:03.672Z,"6km NW of The Geysers, CA",earthquake,0.52,1.73,,1,automatic,nc,nc
2020-06-28T03:25:28.430Z,32.8231667,-117.2826667,9.38,1.37,ml,37,188,0.0747,0.14,ci,ci39270983,2020-06-29T16:24:10.116Z,"3km SSW of La Jolla, CA",earthquake,0.33,0.49,0.174,26,reviewed,ci,ci
2020-06-28T03:26:21.339Z,12.9095,92.6873,10,4.2,mb,,180,8.167,0.66,us,us7000ahew,2020-07-24T01:43:18.040Z,"133 km N of Bamboo Flat, India",earthquake,10.6,1.9,0.146,13,reviewed,us,us
2020-06-28T03:27:57.200Z,37.6628333,-118.877,3.56,0.27,md,10,213,0.02417,0.03,nc,nc73418111,2020-06-28T23:31:03.023Z,"9km ENE of Mammoth Lakes, CA",earthquake,0.79,1.14,0.09,9,reviewed,nc,nc
2020-06-28T03:31:13.700Z,17.9351,-66.8363,14,2.24,md,15,206,0.0587,0.21,pr,pr2020180059,2020-06-30T08:47:49.806Z,"6km SSW of Indios, Puerto Rico",earthquake,0.8,0.76,0.26,12,reviewed,pr,pr
2020-06-28T03:38:16.830Z,38.7051667,-112.6178333,3.03,1.05,md,8,126,0.1642,0.1,uu,uu60399062,2020-06-30T18:17:27.890Z,"38km SW of Fillmore, Utah",earthquake,0.97,7.6,0.236,6,reviewed,uu,uu
2020-06-28T03:39:38.880Z,38.8138333,-122.8113333,1.35,1.64,md,39,47,0.009598,0.05,nc,nc73418116,2020-07-02T03:11:03.195Z,"6km NW of The Geysers, CA",earthquake,0.15,0.23,0.244,7,reviewed,nc,nc
2020-06-28T03:43:40.304Z,64.6946,-151.7201,21.3,1.7,ml,,,,0.61,ak,ak02089qs2kf,2020-07-22T20:35:30.702Z,"55 km SSE of Tanana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-06-28T03:43:40.873Z,60.4552,-152.1189,96.4,1.3,ml,,,,0.44,ak,ak02089qs2nb,2020-07-09T06:14:16.136Z,"45 km WNW of Cohoe, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2020-06-28T03:54:34.594Z,53.8564,-166.7732,5.8,1.7,ml,,,,0.49,ak,ak02089quf5i,2020-07-09T06:13:00.794Z,"15 km WSW of Dutch Harbor, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-06-28T03:57:22.310Z,35.6176667,-117.4251667,9.71,1.34,ml,30,95,0.04333,0.15,ci,ci39270991,2020-07-02T19:06:46.331Z,"17km S of Searles Valley, CA",earthquake,0.2,0.37,0.179,17,reviewed,ci,ci
2020-06-28T03:59:19.390Z,37.6548333,-118.8891667,3.06,0.26,md,7,223,0.01207,0.03,nc,nc73418136,2020-06-28T23:52:04.293Z,"8km ENE of Mammoth Lakes, CA",earthquake,0.85,1.38,0.067,5,reviewed,nc,nc
2020-06-28T03:59:29.490Z,38.8173332,-122.8123322,1.29,0.55,md,6,131,0.006305,0.02,nc,nc73418131,2020-06-28T04:19:02.911Z,"7km NW of The Geysers, CA",earthquake,0.49,0.86,,1,automatic,nc,nc
2020-06-28T04:01:30.839Z,62.653,-149.634,58.8,1,ml,,,,0.29,ak,ak02089r4hgq,2020-07-09T06:13:01.943Z,"33 km NE of Chase, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2020-06-28T04:13:52.440Z,38.1377,-117.8885,9.9,1.9,ml,25,60.84,0.027,0.07,nn,nn00754744,2020-06-28T04:17:11.862Z,"58km W of Tonopah, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-06-28T04:13:54.130Z,38.8253326,-122.8043365,2.78,0.88,md,11,88,0.004881,0.01,nc,nc73418141,2020-06-28T04:31:02.993Z,"7km NW of The Geysers, CA",earthquake,0.58,1.22,,1,automatic,nc,nc
2020-06-28T04:15:59.250Z,38.2115,-117.7222,0.8,1.2,ml,14,134.71,0.05,0.02,nn,nn00754748,2020-06-28T04:25:30.149Z,"46km WNW of Tonopah, Nevada",earthquake,,6.1,,,automatic,nn,nn
2020-06-28T04:29:48.530Z,39.4376667,-123.105,2.69,1.49,md,22,66,0.1393,0.14,nc,nc73418146,2020-06-30T23:42:03.269Z,"13km WNW of Lake Pillsbury, CA",earthquake,0.36,1.79,0.157,18,reviewed,nc,nc
2020-06-28T04:31:24.950Z,37.6541667,-118.8081667,2.99,1.52,md,23,207,0.02493,0.06,nc,nc73418151,2020-06-29T02:59:02.610Z,"15km E of Mammoth Lakes, CA",earthquake,0.37,0.54,0.369,22,reviewed,nc,nc
2020-06-28T04:33:52.927Z,32.7488,-103.4568,5,3,ml,,76,0.395,0.52,us,us7000addx,2020-07-24T01:45:21.040Z,"22 km NW of Monument, New Mexico",earthquake,1.3,2,0.128,14,reviewed,us,us
2020-06-28T04:35:58.090Z,46.9643333,-112.7201667,9.56,1.55,ml,13,141,0.045,0.17,mb,mb80443644,2020-06-28T18:08:44.410Z,"3km WNW of Lincoln, Montana",earthquake,0.57,0.64,0.271,4,reviewed,mb,mb
2020-06-28T04:36:21.720Z,35.6108333,-117.5886667,6.16,0.82,ml,21,84,0.06902,0.15,ci,ci39270999,2020-06-28T17:19:49.899Z,"8km E of Ridgecrest, CA",earthquake,0.2,0.52,0.25,10,reviewed,ci,ci
2020-06-28T04:38:35.450Z,33.1511667,-116.6998333,18.75,1.03,ml,47,43,0.09662,0.15,ci,ci39271007,2020-07-02T20:45:30.193Z,"12km SSE of Lake Henshaw, CA",earthquake,0.17,0.32,0.104,22,reviewed,ci,ci
2020-06-28T04:40:10.260Z,38.762,-122.9345,6.02,0.9,md,31,116,0.06101,0.05,nc,nc73418156,2020-07-02T02:30:03.939Z,"9km SE of Cloverdale, CA",earthquake,0.46,0.69,0.175,3,reviewed,nc,nc
2020-06-28T04:42:55.549Z,65.5323,-137.0839,4,1.1,ml,,,,0.65,ak,ak02089rdbof,2020-07-09T06:13:03.181Z,"198 km NE of Dawson City, Canada",earthquake,,0.4,,,reviewed,ak,ak
2020-06-28T04:47:01.402Z,63.9473,-148.959,115.9,1.1,ml,,,,0.61,ak,ak02089rea01,2020-07-09T06:13:04.510Z,"10 km N of Healy, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2020-06-28T04:48:09.730Z,36.57516667,-98.3135,7.37,1.73,ml,49,106,0.1619682163,0.16,ok,ok2020mpko,2020-06-29T21:58:39.117Z,"5km NW of Helena, Oklahoma",earthquake,,0.4,0.29,6,reviewed,ok,ok
2020-06-28T04:58:27.380Z,38.6981667,-112.6113333,5.62,1.54,ml,9,155,0.1561,0.08,uu,uu60399067,2020-06-29T14:54:15.270Z,"39km SW of Fillmore, Utah",earthquake,0.71,31.61,0.111,2,reviewed,uu,uu
2020-06-28T05:00:38.060Z,38.8095016,-122.8001633,2.02,0.54,md,6,145,0.004094,0.02,nc,nc73418171,2020-06-28T05:30:11.419Z,"5km NW of The Geysers, CA",earthquake,0.6,1.29,,1,automatic,nc,nc
2020-06-28T05:02:40.190Z,19.230167388916,-155.403167724609,31.1100006103516,1.90999997,md,45,140,,0.119999997,hv,hv72019072,2020-06-28T05:05:48.680Z,"8km ENE of Pahala, Hawaii",earthquake,0.64,1,1.37,18,automatic,hv,hv
2020-06-28T05:04:31.500Z,38.6551667,-112.6051667,8.19,1.21,md,6,234,0.1319,0.04,uu,uu60399077,2020-06-29T16:46:50.320Z,"42km N of Beaver, Utah",earthquake,2.63,2.79,0.313,3,reviewed,uu,uu
2020-06-28T05:06:11.372Z,65.2921,-162.9618,2.9,1.8,ml,,,,0.5,ak,ak02089rqy35,2020-07-09T06:14:17.680Z,"71 km NNE of White Mountain, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-06-28T05:09:02.970Z,35.9973333,-117.7195,2.74,0.41,ml,8,164,0.04637,0.04,ci,ci39271119,2020-06-28T17:23:24.692Z,"18km ENE of Little Lake, CA",earthquake,0.23,0.15,0.034,2,reviewed,ci,ci
2020-06-28T05:09:05.880Z,36.4701667,-117.9653333,9.81,1.49,ml,18,78,0.09739,0.23,ci,ci37449125,2020-06-28T17:28:51.698Z,"16km SE of Lone Pine, CA",earthquake,0.32,0.7,0.18,18,reviewed,ci,ci
2020-06-28T05:09:35.800Z,19.3941669464111,-155.009338378906,1.51999998092651,1.91,ml,42,179,,0.230000004,hv,hv72019077,2020-06-28T05:15:08.060Z,"12km SW of Leilani Estates, Hawaii",earthquake,0.64,0.419999987,0.32,4,automatic,hv,hv
2020-06-28T05:11:29.530Z,19.1918334960938,-155.471328735352,34.2099990844727,2.27,ml,52,93,,0.100000001,hv,hv72019082,2020-07-19T12:25:40.040Z,"0km SW of Pahala, Hawaii",earthquake,0.5,0.870000005,3.19,14,automatic,hv,hv
2020-06-28T05:12:11.470Z,45.7221667,-112.8863333,13.3,1.27,ml,15,114,0.207,0.13,mb,mb80443649,2020-06-28T18:03:05.560Z,"41km SW of Butte, Montana",earthquake,0.45,0.71,0.126,6,reviewed,mb,mb
2020-06-28T05:12:35.892Z,54.5415,162.2955,10,4.1,mb,,136,2.644,0.36,us,us7000ahf5,2020-07-23T09:42:11.040Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,6.5,1.9,0.213,6,reviewed,us,us
2020-06-28T05:15:05.253Z,62.2737,-152.1803,103.8,1.2,ml,,,,0.3,ak,ak02089rsv0y,2020-07-09T06:13:05.632Z,"51 km NW of Skwentna, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-06-28T05:20:31.630Z,38.8325005,-122.8170013,1.5,1.11,md,25,48,0.01058,0.02,nc,nc73418176,2020-06-28T07:12:03.051Z,"8km NW of The Geysers, CA",earthquake,0.18,0.35,0.2,5,automatic,nc,nc
2020-06-28T05:21:03.610Z,38.8336678,-122.8166656,1.54,0.89,md,15,58,0.01148,0.01,nc,nc73418181,2020-06-28T07:39:03.225Z,"8km NW of The Geysers, CA",earthquake,0.27,0.63,,1,automatic,nc,nc
2020-06-28T05:21:54.540Z,37.658,-118.8911667,2.72,0.13,md,7,228,0.012,0.03,nc,nc73418186,2020-06-28T23:04:17.727Z,"8km ENE of Mammoth Lakes, CA",earthquake,1.02,0.5,0.213,6,reviewed,nc,nc
2020-06-28T05:22:30.600Z,37.3018333,-121.87,6.67,1.14,md,25,51,0.01509,0.06,nc,nc73418191,2020-06-29T03:52:01.932Z,"3km WNW of Seven Trees, CA",earthquake,0.19,0.31,0.272,22,reviewed,nc,nc
